,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
29,Canada,CAN,419492.4,413298.8,426367.5,422048.0,436764.7,448046.1,461700.8,476816.0,484792.0,494278.6,514215.2,506616.0,524353.5,544541.9,536417.4,549032.8,540525.7,571632.2,550469.8,521316.0,537008.2,549286.5,546208.1,555658.9,561677.0,558700.8,556827.6,568082.4,580088.0,580212.8
30,Switzerland,CHE,43326.5,45666.8,45702.6,43452.0,42593.0,43439.4,44006.0,42748.3,44247.3,44528.1,43708.8,45154.7,43573.3,44839.5,45283.9,45850.7,45479.3,43541.2,44962.5,43668.6,45207.8,41192.3,42516.6,43531.2,39793.3,39090.8,39666.5,38699.0,37481.3,37376.3
31,Chile,CHL,30516.8,29301.5,30324.6,32320.2,35643.1,38972.0,44896.3,51285.2,52013.7,54430.3,50424.5,48425.1,49121.4,50200.6,54972.1,55968.9,57148.1,64574.0,67991.6,65450.6,69750.1,76470.5,78412.6,82998.5,76560.3,82225.4,86492.0,87072.2,86606.1,91369.4
32,China,CHN,2173364.0,2302185.0,2418175.0,2645412.0,2767667.0,3088620.0,3070505.0,3134113.0,3236279.0,3153661.0,3346526.0,3529081.0,3810057.0,4415913.0,5124817.0,5824625.0,6437470.0,6993183.0,7199605.0,7719071.0,8474923.0,9282554.0,9541867.0,9984572.0,10006670.0,9861100.0,9874656.0,10096010.0,10502930.0,10707220.0
33,Cote d'Ivoire,CIV,2705.4,2791.5,2772.1,2957.3,3093.6,3365.1,4053.6,4972.6,4989.7,6831.4,6489.4,6494.3,6838.9,5307.5,5466.1,5876.5,5698.7,5657.8,6474.7,6031.2,6350.6,6118.3,8037.7,8692.4,9196.9,9805.7,9593.5,10563.8,10194.8,10833.4
34,Cameroon,CMR,2900.0,6966.0,6846.6,5766.8,4619.2,4679.4,4755.4,4862.3,5040.5,4788.3,5209.1,5156.7,5133.2,5206.0,5122.6,5016.3,5091.6,6131.5,6393.5,7032.3,7014.3,6811.1,6876.3,7545.9,8248.2,8461.4,9078.1,9172.5,9587.5,9429.1
35,"Congo, Dem. Rep.",COD,3179.0,1737.9,1482.42,1896.19,2208.23,2110.94,2271.34,2269.97,2275.74,2094.98,1634.93,1565.44,1650.1,1998.6,1939.7,2208.7,2282.7,2472.8,2553.3,2502.7,2653.9,3016.9,2827.3,3959.5,5136.1,3231.4,2421.14,2845.0,3121.9,3209.8
36,"Congo, Rep.",COG,3201.95,3194.22,3128.97,2691.09,2055.2,2635.41,3168.94,3267.123,3876.8,3962.9,4348.186,4244.6,2755.9,3225.6,3515.3,4314.23,4779.06,4151.62,4361.49,4839.56,5424.45,5384.97,5261.65,5330.11,5194.7,5655.7,5498.3,5407.4,6486.7,7256.9
37,Colombia,COL,48727.9,50437.0,52514.6,55880.5,56785.0,59313.3,58646.8,64190.4,64443.9,55397.9,58341.7,58942.3,56767.0,56108.9,56112.1,57636.9,57688.7,59176.7,59782.2,62008.6,63564.3,69097.1,69695.2,76863.2,79201.5,80227.7,82684.5,74989.1,78592.3,81039.1
38,Comoros,COM,65.3,68.5,70.1,73.1,74.7,77.8,79.4,84.1,92.1,96.8,104.7,109.5,109.5,139.3,152.8,146.9,172.1,111.7,114.0,140.3,167.6,150.0,161.1,193.7,173.2,187.2,219.2,280.6,304.1,320.2
39,Cabo Verde,CPV,96.6,101.3,108.1,110.9,113.7,123.6,140.8,145.1,159.7,188.8,218.0,245.0,278.5,307.1,334.4,441.1,502.4,459.7,475.4,510.0,540.0,567.1,529.0,506.0,500.3,503.4,546.0,587.8,612.6,645.3
40,Costa Rica,CRI,2871.2,3061.6,4148.5,4180.9,4850.5,4809.8,4526.9,4493.9,5015.3,5034.0,4946.7,5420.6,5523.2,5797.4,5943.5,6273.8,6556.9,7601.5,7515.2,7198.3,7105.4,7430.4,7446.5,7778.3,7831.9,7537.9,8080.4,8255.1,8371.1,8238.1
41,Cuba,CUB,35621.6,27418.0,21771.8,20152.3,21719.4,23175.5,25203.4,27448.2,27112.5,27998.5,28353.1,27465.1,26423.5,25628.6,25364.8,26317.9,26780.2,27677.5,26747.1,26979.6,28110.0,27586.3,28690.9,28869.7,26688.7,29212.4,27174.2,26242.1,26710.7,25910.9
42,Cyprus,CYP,4591.2,5109.0,5479.7,5735.8,5977.9,5848.0,6211.3,6304.9,6610.0,6871.1,7127.7,6992.1,7168.5,7834.1,7778.8,7900.8,7999.4,8307.1,8490.7,8276.1,7898.4,7634.6,7098.8,6427.7,6811.8,6851.9,7219.2,7361.2,7198.6,7193.2
43,Czechia,CZE,150203.1,136901.7,134140.7,130982.2,124707.2,125179.8,126740.5,124791.4,118920.8,111945.8,123167.5,122721.4,118527.5,122765.7,123437.5,119994.9,120598.3,123624.7,118305.1,111165.1,112251.3,109172.8,106073.4,101150.7,97510.1,99140.8,101730.0,101831.8,100899.7,96285.2
44,Germany,DEU,955307.7,932548.1,892817.4,887057.0,875897.1,874659.4,904337.4,872646.5,865253.7,833594.9,830284.1,847678.2,833382.2,836794.5,821073.6,802383.2,814413.1,783803.0,789690.4,734805.5,773069.1,746477.3,760127.7,776151.8,736011.7,742314.4,747147.2,732204.2,707700.7,657401.0
45,Djibouti,DJI,273.4,287.4,303.6,304.9,294.7,315.1,295.3,330.9,393.4,392.8,372.4,375.7,398.9,413.3,395.0,428.9,432.6,469.9,474.0,465.0,518.4,475.2,495.8,562.79,404.77,464.85,416.95,416.92,403.32,420.02
46,Dominica,DMA,61.1,61.2,82.5,75.8,77.6,95.1,76.1,100.2,105.2,111.7,131.8,151.8,122.7,136.7,155.3,160.1,171.1,179.9,184.3,503.3,181.6,179.2,247.6,171.6,180.2,181.2,182.9,166.0,165.7,167.8
47,Denmark,DNK,52085.6,62795.5,57034.0,59363.8,63195.4,59999.2,73343.9,63648.1,59710.1,56728.2,52601.8,54245.2,53839.5,59233.8,53727.3,50201.7,58133.9,53411.3,50127.5,47933.4,48124.7,43097.9,38216.1,39960.6,35819.6,33695.4,35321.7,33132.2,33131.2,29696.2
48,Dominican Republic,DOM,7860.7,8229.6,9620.4,9520.4,11138.3,11844.7,12728.5,14502.8,16616.1,17794.0,18670.6,18983.7,20884.1,18725.2,17282.2,18690.8,20368.5,20626.8,20581.3,19657.2,20680.8,20913.9,21681.5,21287.2,21450.7,23590.5,24593.5,23551.3,25308.0,27233.3
49,Algeria,DZA,62937.4,66428.9,66845.0,72219.8,73607.0,76441.1,76124.7,74434.0,74649.8,77506.0,80047.6,78646.1,82404.8,88189.5,89493.3,94188.4,99809.3,102750.7,107746.2,112172.7,114179.9,120785.4,134934.9,139024.9,147736.1,156273.9,154906.2,158335.3,165539.0,171249.6
50,Ecuador,ECU,15422.5,15740.3,16845.2,16952.7,18803.9,20917.7,23997.5,24953.4,24469.7,21614.2,22051.3,24251.4,24172.2,24655.6,26177.5,28220.1,30126.1,30635.7,31687.8,34498.3,37253.8,37096.5,37085.1,39701.0,41801.1,41524.2,39808.5,38551.5,40138.6,39293.3
51,"Egypt, Arab Rep.",EGY,87745.8,89370.0,90903.9,92662.3,87901.2,93722.7,98940.6,106058.0,110982.8,116535.7,114614.8,126704.8,129441.6,133020.7,144504.2,162217.5,170745.4,183396.0,189935.5,197660.8,200313.6,205767.6,215001.4,213856.9,219121.7,226277.5,231230.9,242225.4,247913.7,249367.1
52,Eritrea,ERI,0.0,0.0,437.8,633.0,733.56,799.67,873.72,827.57,614.55,649.82,636.69,696.62,679.85,688.78,682.2,599.93,523.57,513.82,446.41,468.33,500.65,569.99,621.04,637.33,648.32,648.1,659.5,722.87,851.7,875.3
53,Spain,ESP,214950.6,222099.7,232369.6,218079.8,228452.7,240567.3,230113.2,248603.1,256215.5,278300.5,293314.3,294786.8,312753.3,318657.7,335560.3,350499.8,341776.3,354683.1,324274.2,287490.3,273254.2,274396.8,269265.6,242805.6,240960.8,256283.1,247033.3,263450.5,257042.8,239977.8
54,Estonia,EST,35283.8,31539.8,23821.2,18338.8,17816.1,16258.3,17198.7,16772.0,16237.6,15294.6,14916.5,15384.1,14952.7,16938.3,17023.1,17232.8,15983.9,19982.2,18398.1,15046.1,18997.0,18170.8,16886.7,19316.5,17939.4,15538.3,15990.5,16707.7,15324.3,10175.4
55,Ethiopia,ETH,2310.7,2333.1,1517.2,1941.3,2261.4,2574.7,2870.5,3058.4,3227.6,3176.6,3557.0,4401.3,4571.5,5022.4,5334.2,5049.5,5404.8,5963.5,6487.7,6534.5,6473.2,7539.3,8478.4,10081.0,12341.4,12892.5,14966.6,15818.2,17244.6,18359.3
56,Finland,FIN,54562.8,55132.7,52280.5,53461.8,59927.6,56092.5,62574.4,60624.0,57265.6,56509.9,55097.5,61088.1,63439.7,71708.1,67682.9,55460.2,67024.9,65102.7,56660.1,54180.9,62526.4,55123.4,49408.1,50191.3,46161.7,42815.4,45700.3,43015.4,44581.3,40706.8
57,Fiji,FJI,688.18,683.25,715.55,702.29,703.43,714.67,766.8,747.11,729.05,754.32,807.98,1040.32,884.54,1047.03,1466.93,1288.79,1383.73,1262.21,965.92,970.39,1163.82,1112.5,1030.17,1133.6,1288.84,1383.25,1520.57,1654.91,1627.57,1632.37
58,France,FRA,356237.9,380651.3,368589.7,349415.6,344404.4,352239.1,367896.6,359073.5,381110.3,374896.6,373116.8,376727.3,371018.2,376705.7,377785.5,380655.1,371547.0,362828.2,357990.2,343733.5,347778.1,335139.7,338418.6,338555.7,306100.5,311300.8,313921.8,317828.8,307049.9,300515.6
59,"Micronesia, Fed. Sts.",FSM,0.0,0.0,106.4,108.0,112.6,117.4,119.1,124.6,130.1,130.1,134.4,151.3,141.2,155.8,159.7,164.0,144.2,138.5,120.9,134.5,111.9,117.7,128.9,137.3,142.3,148.3,173.6,175.5,174.7,175.2
60,Gabon,GAB,4099.02,4556.36,4531.68,4654.84,4615.41,5210.94,5805.86,5564.83,6389.09,6027.69,6079.8,6225.55,5955.2,6436.2,6090.8,6058.1,5437.0,4941.01,5272.37,5199.98,5758.49,5776.74,5601.87,5790.37,5962.05,6116.1,6420.0,5333.1,5122.3,5245.5
61,United Kingdom,GBR,561774.2,570681.3,557885.3,541376.1,535182.9,526807.8,545477.8,524190.9,526000.3,522752.3,530888.0,545262.0,530785.7,543036.9,543075.7,540916.8,542060.7,530502.3,515335.5,466492.3,482441.2,445591.6,467780.3,453761.3,415599.3,401078.5,380811.8,367002.4,360734.7,348921.9
62,Georgia,GEO,33488.3,25505.9,20072.9,16093.7,10443.86,8177.32,6363.3,5518.89,4990.37,4522.2,4772.8,3516.2,2958.4,3157.2,3373.1,4243.1,4701.3,5626.6,4838.8,5624.3,5322.1,6521.8,7193.0,7837.4,8469.2,9201.1,9651.9,9725.8,9568.7,10113.2
63,Ghana,GHA,2794.0,2564.6,3076.7,3188.1,3463.8,3714.0,4093.5,4295.1,6099.7,6576.1,5737.9,6209.6,7431.7,7140.0,6680.7,7044.3,8505.0,9115.3,8659.0,10013.3,11192.4,11748.2,14614.4,15633.4,15089.3,15778.2,16069.8,17013.8,18675.1,20040.6
